SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date,
,,,,,,,,,,,,,,,,,,,space,10.4620161057,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/ziva.wav,yes,z,v,i,no,a,ziva,Training,alveolar,TrainingItems,0,0,0,68,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fusi.wav,no,f,s,u,no,i,fusi,Training,bilabial,TrainingItems,0,1,1,38,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vaza.wav,yes,v,z,a,no,a,vaza,Training,bilabial,TrainingItems,0,2,2,39,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tita.wav,no,t,t,i,yes,a,tita,Training,alveolar,TrainingItems,0,3,3,41,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/piti.wav,no,p,t,i,yes,i,piti,Training,bilabial,TrainingItems,0,4,4,19,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fufi.wav,no,f,f,u,no,i,fufi,Training,bilabial,TrainingItems,0,5,5,20,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/didu.wav,yes,d,d,i,yes,u,didu,Training,alveolar,TrainingItems,0,6,6,11,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fufu.wav,no,f,f,u,no,u,fufu,Training,bilabial,TrainingItems,0,7,7,47,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zizu.wav,yes,z,z,i,no,u,zizu,Training,alveolar,TrainingItems,0,8,8,14,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/bibi.wav,yes,b,b,i,yes,i,bibi,Training,bilabial,TrainingItems,0,9,9,89,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zizi.wav,yes,z,z,i,no,i,zizi,Training,alveolar,TrainingItems,0,10,10,60,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/sisu.wav,no,s,s,i,no,u,sisu,Training,alveolar,TrainingItems,0,11,11,9,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vazu.wav,yes,v,z,a,no,u,vazu,Training,bilabial,TrainingItems,0,12,12,24,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/pati.wav,no,p,t,a,yes,i,pati,Training,bilabial,TrainingItems,0,13,13,22,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/viva.wav,yes,v,v,i,no,a,viva,Training,bilabial,TrainingItems,0,14,14,18,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tapa.wav,no,t,p,a,yes,a,tapa,Training,alveolar,TrainingItems,0,15,15,83,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fafu.wav,no,f,f,a,no,u,fafu,Training,bilabial,TrainingItems,0,16,16,42,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/dida.wav,yes,d,d,i,yes,a,dida,Training,alveolar,TrainingItems,0,17,17,16,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vuvi.wav,yes,v,v,u,no,i,vuvi,Training,bilabial,TrainingItems,0,18,18,33,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/pipa.wav,no,p,p,i,yes,a,pipa,Training,bilabial,TrainingItems,0,19,19,72,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fisi.wav,no,f,s,i,no,i,fisi,Training,bilabial,TrainingItems,0,20,20,6,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/baba.wav,yes,b,b,a,yes,a,baba,Training,bilabial,TrainingItems,0,21,21,94,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/sasa.wav,no,s,s,a,no,a,sasa,Training,alveolar,TrainingItems,0,22,22,59,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/susa.wav,no,s,s,u,no,a,susa,Training,alveolar,TrainingItems,0,23,23,61,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/dada.wav,yes,d,d,a,yes,a,dada,Training,alveolar,TrainingItems,0,24,24,63,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/bubu.wav,yes,b,b,u,yes,u,bubu,Training,bilabial,TrainingItems,0,25,25,45,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/papi.wav,no,p,p,a,yes,i,papi,Training,bilabial,TrainingItems,0,26,26,36,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fifi.wav,no,f,f,i,no,i,fifi,Training,bilabial,TrainingItems,0,27,27,78,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fasu.wav,no,f,s,a,no,u,fasu,Training,bilabial,TrainingItems,0,28,28,31,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vivi.wav,yes,v,v,i,no,i,vivi,Training,bilabial,TrainingItems,0,29,29,32,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/sifi.wav,no,s,f,i,no,i,sifi,Training,alveolar,TrainingItems,0,30,30,71,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/titu.wav,no,t,t,i,yes,u,titu,Training,alveolar,TrainingItems,0,31,31,91,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/didi.wav,yes,d,d,i,yes,i,didi,Training,alveolar,TrainingItems,0,32,32,67,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zaza.wav,yes,z,z,a,no,a,zaza,Training,alveolar,TrainingItems,0,33,33,80,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tati.wav,no,t,t,a,yes,i,tati,Training,alveolar,TrainingItems,0,34,34,70,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vuzu.wav,yes,v,z,u,no,u,vuzu,Training,bilabial,TrainingItems,0,35,35,85,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zivu.wav,yes,z,v,i,no,u,zivu,Training,alveolar,TrainingItems,0,36,36,48,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zuvu.wav,yes,z,v,u,no,u,zuvu,Training,alveolar,TrainingItems,0,37,37,4,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/pupi.wav,no,p,p,u,yes,i,pupi,Training,bilabial,TrainingItems,0,38,38,86,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/patu.wav,no,p,t,a,yes,u,patu,Training,bilabial,TrainingItems,0,39,39,15,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/susu.wav,no,s,s,u,no,u,susu,Training,alveolar,TrainingItems,0,40,40,79,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tupu.wav,no,t,p,u,yes,u,tupu,Training,alveolar,TrainingItems,0,41,41,21,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fusu.wav,no,f,s,u,no,u,fusu,Training,bilabial,TrainingItems,0,42,42,10,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tuta.wav,no,t,t,u,yes,a,tuta,Training,alveolar,TrainingItems,0,43,43,37,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/pupa.wav,no,p,p,u,yes,a,pupa,Training,bilabial,TrainingItems,0,44,44,73,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zazu.wav,yes,z,z,a,no,u,zazu,Training,alveolar,TrainingItems,0,45,45,75,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vuzi.wav,yes,v,z,u,no,i,vuzi,Training,bilabial,TrainingItems,0,46,46,82,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fifu.wav,no,f,f,i,no,u,fifu,Training,bilabial,TrainingItems,0,47,47,92,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/duda.wav,yes,d,d,u,yes,a,duda,Training,alveolar,TrainingItems,0,48,48,98,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/papa.wav,no,p,p,a,yes,a,papa,Training,bilabial,TrainingItems,0,49,49,81,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vava.wav,yes,v,v,a,no,a,vava,Training,bilabial,TrainingItems,0,50,50,56,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/bubi.wav,yes,b,b,u,yes,i,bubi,Training,bilabial,TrainingItems,0,51,51,57,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vuza.wav,yes,v,z,u,no,a,vuza,Training,bilabial,TrainingItems,0,52,52,90,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tata.wav,no,t,t,a,yes,a,tata,Training,alveolar,TrainingItems,0,53,53,87,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fufa.wav,no,f,f,u,no,a,fufa,Training,bilabial,TrainingItems,0,54,54,43,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/sufu.wav,no,s,f,u,no,u,sufu,Training,alveolar,TrainingItems,0,55,55,65,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zivi.wav,yes,z,v,i,no,i,zivi,Training,alveolar,TrainingItems,0,56,56,99,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/pitu.wav,no,p,t,i,yes,u,pitu,Training,bilabial,TrainingItems,0,57,57,54,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/sufa.wav,no,s,f,u,no,a,sufa,Training,alveolar,TrainingItems,0,58,58,3,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/pita.wav,no,p,t,i,yes,a,pita,Training,bilabial,TrainingItems,0,59,59,66,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zuzu.wav,yes,z,z,u,no,u,zuzu,Training,alveolar,TrainingItems,0,60,60,8,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vavu.wav,yes,v,v,a,no,u,vavu,Training,bilabial,TrainingItems,0,61,61,12,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fasi.wav,no,f,s,a,no,i,fasi,Training,bilabial,TrainingItems,0,62,62,44,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fasa.wav,no,f,s,a,no,a,fasa,Training,bilabial,TrainingItems,0,63,63,5,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vavi.wav,yes,v,v,a,no,i,vavi,Training,bilabial,TrainingItems,0,64,64,77,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/puta.wav,no,p,t,u,yes,a,puta,Training,bilabial,TrainingItems,0,65,65,7,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/viza.wav,yes,v,z,i,no,a,viza,Training,bilabial,TrainingItems,0,66,66,50,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vazi.wav,yes,v,z,a,no,i,vazi,Training,bilabial,TrainingItems,0,67,67,52,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/vizu.wav,yes,v,z,i,no,u,vizu,Training,bilabial,TrainingItems,0,68,68,93,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/safi.wav,no,s,f,a,no,i,safi,Training,alveolar,TrainingItems,0,69,69,2,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zazi.wav,yes,z,z,a,no,i,zazi,Training,alveolar,TrainingItems,0,70,70,96,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fifa.wav,no,f,f,i,no,a,fifa,Training,bilabial,TrainingItems,0,71,71,40,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/safa.wav,no,s,f,a,no,a,safa,Training,alveolar,TrainingItems,0,72,72,35,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fisa.wav,no,f,s,i,no,a,fisa,Training,bilabial,TrainingItems,0,73,73,34,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/dadu.wav,yes,d,d,a,yes,u,dadu,Training,alveolar,TrainingItems,0,74,74,88,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zavi.wav,yes,z,v,a,no,i,zavi,Training,alveolar,TrainingItems,0,75,75,76,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/dudu.wav,yes,d,d,u,yes,u,dudu,Training,alveolar,TrainingItems,0,76,76,29,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fusa.wav,no,f,s,u,no,a,fusa,Training,bilabial,TrainingItems,0,77,77,30,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fisu.wav,no,f,s,i,no,u,fisu,Training,bilabial,TrainingItems,0,78,78,27,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/sisi.wav,no,s,s,i,no,i,sisi,Training,alveolar,TrainingItems,0,79,79,51,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/pupu.wav,no,p,p,u,yes,u,pupu,Training,bilabial,TrainingItems,0,80,80,62,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/fafi.wav,no,f,f,a,no,i,fafi,Training,bilabial,TrainingItems,0,81,81,53,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tatu.wav,no,t,t,a,yes,u,tatu,Training,alveolar,TrainingItems,0,82,82,49,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/zava.wav,yes,z,v,a,no,a,zava,Training,alveolar,TrainingItems,0,83,83,26,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/dudi.wav,yes,d,d,u,yes,i,dudi,Training,alveolar,TrainingItems,0,84,84,95,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
Recordings/tipi.wav,no,t,p,i,yes,i,tipi,Training,alveolar,TrainingItems,0,85,85,69,,,,,,,,,,,47,F,19,59.9494597221,,American English,VSH_Exp2,2015_Nov_03_1622,
